term,source_warriner,source_nrc,is_multiword,valence_mean,arousal_mean,dominance_mean,merge_strategy,confidence
goggles,True,True,False,0.31825000000000003,-0.23250000000000004,-0.097,both_weighted,0.9
civilized,True,True,False,0.47700000000000004,-0.49025,0.48599999999999993,both_weighted,0.9
lastday,False,True,False,-0.382,0.16,-0.074,nrc_only,0.7
mutual aid,False,True,True,0.214,-0.05,0.3,nrc_only,0.7
unhopefully,False,True,False,-0.905,-1.0,-0.708,nrc_only,0.7
lair,True,True,False,-0.031,-0.018250000000000044,-0.09299999999999999,both_weighted,0.9
radiophotography,False,True,False,0.0,0.667,0.222,nrc_only,0.7
functionary,False,True,False,0.095,0.0,-0.333,nrc_only,0.7
adversary,True,True,False,-0.20725000000000002,0.20325000000000004,-0.043,both_weighted,0.9
headstone,True,True,False,-0.57875,-0.22450000000000003,-0.32599999999999996,both_weighted,0.9
aversely,False,True,False,-0.733,-0.625,-0.167,nrc_only,0.7
culinary,True,True,False,0.32025000000000003,-0.1195,0.12524999999999994,both_weighted,0.9
botany,True,True,False,0.17274999999999996,-0.5489999999999999,-0.02375000000000005,both_weighted,0.9
polyphony,False,True,False,0.619,0.037,0.375,nrc_only,0.7
get ready,False,True,True,0.322,0.03,0.194,nrc_only,0.7
excommunicator,False,True,False,-0.611,0.593,1.0,nrc_only,0.7
dryer,True,True,False,0.005249999999999994,-0.47824999999999995,-0.27674999999999994,both_weighted,0.9
recreation,True,True,False,0.593,0.13025,0.363,both_weighted,0.9
project manager,False,True,True,0.382,0.034,0.572,nrc_only,0.7
gaze,True,True,False,0.27675000000000005,-0.01824999999999996,0.2547499999999999,both_weighted,0.9
tactility,False,True,False,0.667,0.238,0.0,nrc_only,0.7
truck stop,False,True,True,-0.384,-0.136,-0.2,nrc_only,0.7
countries,False,True,False,0.0,0.0,0.542,nrc_only,0.7
boundary,True,True,False,0.02975,-0.17675000000000002,-0.11324999999999998,both_weighted,0.9
letterman,False,True,False,0.083,0.0,0.5,nrc_only,0.7
minibar,False,True,False,0.381,-0.407,0.0,nrc_only,0.7
noncontributing,False,True,False,-0.667,-0.778,-0.708,nrc_only,0.7
subzone,False,True,False,0.095,-0.667,-0.222,nrc_only,0.7
anchorwoman,False,True,False,0.381,0.667,0.708,nrc_only,0.7
unceremoniously,False,True,False,-0.571,0.375,-0.407,nrc_only,0.7
mousepad,False,True,False,0.0,-0.667,-0.381,nrc_only,0.7
liquefaction,False,True,False,-0.102,0.244,0.07,nrc_only,0.7
stained glass,False,True,True,0.0,-0.122,0.138,nrc_only,0.7
bottlebrush,False,True,False,0.238,0.0,-0.292,nrc_only,0.7
underdevelopment,False,True,False,-0.667,-0.667,-0.667,nrc_only,0.7
attire,True,True,False,0.387,-0.24324999999999997,0.08050000000000003,both_weighted,0.9
shift work,False,True,True,-0.2,0.226,0.12,nrc_only,0.7
turnout,True,True,False,0.16975000000000004,0.09949999999999998,0.42425,both_weighted,0.9
monogamist,False,True,False,0.37,-0.667,0.407,nrc_only,0.7
by design,False,True,True,0.138,-0.214,0.226,nrc_only,0.7
lamenting,False,True,False,-0.688,-0.22,-0.492,nrc_only,0.7
incontrovertibly,False,True,False,0.667,0.111,1.0,nrc_only,0.7
riveter,False,True,False,0.095,0.667,0.286,nrc_only,0.7
nautically,False,True,False,0.0,0.259,0.296,nrc_only,0.7
guidance,True,True,False,0.34775,-0.2715,0.3554999999999999,both_weighted,0.9
plentifully,False,True,False,0.667,0.0,0.381,nrc_only,0.7
short sighted,False,True,True,-0.38,-0.05,-0.266,nrc_only,0.7
fluster,False,True,False,-0.667,1.0,-0.667,nrc_only,0.7
unborn child,False,True,True,-0.068,-0.148,-0.634,nrc_only,0.7
unoffered,False,True,False,-0.333,-0.625,-0.583,nrc_only,0.7
spear,True,True,False,-0.061250000000000034,0.06350000000000003,0.0,both_weighted,0.9
fancywork,False,True,False,0.619,-0.556,-0.167,nrc_only,0.7
atrophic,False,True,False,-0.667,-1.0,-0.741,nrc_only,0.7
deadlines,False,True,False,-0.188,0.538,-0.178,nrc_only,0.7
squeakily,False,True,False,-0.333,0.5,-0.815,nrc_only,0.7
sexiest,False,True,False,0.857,0.6,0.524,nrc_only,0.7
serve up,False,True,True,0.066,0.062,-0.104,nrc_only,0.7
sabbatical,True,True,False,0.396,-0.54125,0.021999999999999978,both_weighted,0.9
associativity,False,True,False,0.571,-0.444,0.296,nrc_only,0.7
batting average,False,True,True,0.166,0.1,0.26,nrc_only,0.7
tsk tsk,False,True,True,-0.344,-0.198,-0.3,nrc_only,0.7
detract,False,True,False,-0.312,-0.124,-0.264,nrc_only,0.7
unhealed,False,True,False,-0.667,-0.519,-0.619,nrc_only,0.7
pronoun,False,True,False,0.0,0.0,0.083,nrc_only,0.7
loathe,True,True,False,-0.696,0.25249999999999995,-0.09975000000000005,both_weighted,0.9
illegible,False,True,False,-0.408,-0.02,-0.37,nrc_only,0.7
waxen,False,True,False,-0.048,-0.714,-0.286,nrc_only,0.7
torte,False,True,False,0.542,-0.519,0.0,nrc_only,0.7
readily,False,True,False,0.48,-0.42,0.094,nrc_only,0.7
reestablish,True,True,False,0.27749999999999997,-0.135,0.33949999999999997,both_weighted,0.9
individuality,True,True,False,0.35575,0.05274999999999999,0.30825,both_weighted,0.9
love song,False,True,True,0.71,-0.052,0.234,nrc_only,0.7
monetary,True,True,False,0.24800000000000005,-0.07350000000000001,0.2935,both_weighted,0.9
princedom,False,True,False,0.667,-0.667,0.926,nrc_only,0.7
disco,True,True,False,0.30499999999999994,0.33725,0.10500000000000002,both_weighted,0.9
sharply,False,True,False,0.0,0.75,0.857,nrc_only,0.7
swollenness,False,True,False,-0.667,-0.333,0.222,nrc_only,0.7
hospital,True,True,False,-0.362,0.045750000000000034,-0.035749999999999976,both_weighted,0.9
child care,False,True,True,0.4,0.034,-0.142,nrc_only,0.7
explicatively,False,True,False,0.0,0.4,0.5,nrc_only,0.7
sweater,True,True,False,0.35275,-0.53,-0.08624999999999997,both_weighted,0.9
elfishly,False,True,False,-0.278,0.667,-0.407,nrc_only,0.7
incommensurate,False,True,False,-0.6,-0.083,-0.167,nrc_only,0.7
timesaving,False,True,False,1.0,0.63,0.667,nrc_only,0.7
rentable,False,True,False,0.429,0.0,0.259,nrc_only,0.7
valorously,False,True,False,1.0,0.917,0.917,nrc_only,0.7
hybridize,False,True,False,0.333,0.625,0.37,nrc_only,0.7
feta cheese,False,True,True,-0.108,-0.28,-0.31,nrc_only,0.7
average,True,True,False,0.17024999999999996,-0.43374999999999997,0.028749999999999984,both_weighted,0.9
devil,True,True,False,-0.57525,0.45000000000000007,-0.034000000000000016,both_weighted,0.9
cuddle up,False,True,True,0.258,-0.096,-0.344,nrc_only,0.7
acronymic,False,True,False,0.0,-0.889,0.125,nrc_only,0.7
willy nilly,False,True,True,-0.5,-0.2,-0.078,nrc_only,0.7
distressing,True,True,False,-0.6025,0.31499999999999995,-0.1875,both_weighted,0.9
stance,True,True,False,0.24149999999999994,-0.4345,0.25149999999999995,both_weighted,0.9
roadworks,False,True,False,0.124,0.076,0.018,nrc_only,0.7
periodical,False,True,False,0.1,-0.404,-0.14,nrc_only,0.7
paleontological,False,True,False,0.111,-0.444,0.333,nrc_only,0.7
bon voyage,False,True,True,0.072,-0.03,-0.1,nrc_only,0.7
steadfast,True,True,False,0.481,-0.19824999999999998,0.52125,both_weighted,0.9
conscienceless,False,True,False,-1.0,0.619,0.667,nrc_only,0.7
submitter,False,True,False,0.0,0.667,-0.815,nrc_only,0.7
harsh on,False,True,True,-0.666,0.042,0.27,nrc_only,0.7
hurricane,True,True,False,-0.5529999999999999,0.5487500000000001,-0.03900000000000001,both_weighted,0.9
factor in,False,True,True,-0.034,-0.016,0.036,nrc_only,0.7
unpledged,False,True,False,0.0,-0.476,-0.19,nrc_only,0.7
